regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Norte,RO,,11,,,,2020-04-22,17,1777225.0,223,5,,
Norte,RO,,11,,,,2020-04-23,17,1777225.0,250,5,,
Norte,RO,,11,,,,2020-04-24,17,1777225.0,290,5,,
Norte,RO,,11,,,,2020-04-25,17,1777225.0,328,7,,
Norte,RO,,11,,,,2020-04-26,18,1777225.0,364,10,,
Norte,RO,,11,,,,2020-04-27,18,1777225.0,393,10,,
Norte,RO,,11,,,,2020-04-28,18,1777225.0,413,11,,
Norte,RO,,11,,,,2020-04-29,18,1777225.0,433,15,,
Norte,RO,,11,,,,2020-04-30,18,1777225.0,502,16,,
Norte,RO,,11,,,,2020-05-01,18,1777225.0,585,18,,
Norte,RO,,11,,,,2020-05-02,18,1777225.0,653,23,,
Norte,RO,,11,,,,2020-05-03,19,1777225.0,705,24,,
Norte,RO,,11,,,,2020-05-04,19,1777225.0,756,25,,
Norte,RO,,11,,,,2020-05-05,19,1777225.0,861,29,,
Norte,RO,,11,,,,2020-05-06,19,1777225.0,943,33,,
Norte,RO,,11,,,,2020-05-07,19,1777225.0,1098,37,,
Norte,RO,,11,,,,2020-05-08,19,1777225.0,1222,39,,
Norte,RO,,11,,,,2020-05-09,19,1777225.0,1263,41,,
Norte,RO,,11,,,,2020-05-10,20,1777225.0,1302,43,,
Norte,RO,,11,,,,2020-05-11,20,1777225.0,1396,47,,
Norte,RO,,11,,,,2020-05-12,20,1777225.0,1460,50,,
Norte,RO,,11,,,,2020-05-13,20,1777225.0,1612,50,,
Norte,RO,,11,,,,2020-05-14,20,1777225.0,1686,56,,
Norte,RO,,11,,,,2020-05-15,20,1777225.0,1789,62,,
Norte,RO,,11,,,,2020-05-16,20,1777225.0,1919,69,,
Norte,RO,,11,,,,2020-05-17,21,1777225.0,1963,74,,
Norte,RO,,11,,,,2020-05-18,21,1777225.0,2043,77,,
Norte,RO,,11,,,,2020-05-19,21,1777225.0,2257,87,,
Norte,RO,,11,,,,2020-05-20,21,1777225.0,2499,90,,
Norte,RO,,11,,,,2020-05-21,21,1777225.0,2659,101,,
Norte,RO,,11,,,,2020-05-22,21,1777225.0,2774,106,,
Norte,RO,,11,,,,2020-05-23,21,1777225.0,3109,115,,
Norte,RO,,11,,,,2020-05-24,22,1777225.0,3201,121,,
Norte,AC,,12,,,,2020-03-19,12,881935.0,3,0,,
Norte,AC,,12,,,,2020-03-20,12,881935.0,7,0,,
Norte,AC,,12,,,,2020-03-21,12,881935.0,9,0,,
Norte,AC,,12,,,,2020-03-22,13,881935.0,11,0,,
Norte,AC,,12,,,,2020-03-23,13,881935.0,11,0,,
Norte,AC,,12,,,,2020-03-24,13,881935.0,17,0,,
Norte,AC,,12,,,,2020-03-25,13,881935.0,23,0,,
Norte,AC,,12,,,,2020-03-26,13,881935.0,24,0,,
Norte,AC,,12,,,,2020-03-27,13,881935.0,25,0,,
Norte,AC,,12,,,,2020-03-28,13,881935.0,25,0,,
Norte,AC,,12,,,,2020-03-29,14,881935.0,34,0,,
Norte,AC,,12,,,,2020-03-30,14,881935.0,42,0,,
Norte,AC,,12,,,,2020-03-31,14,881935.0,42,0,,
Norte,AC,,12,,,,2020-04-01,14,881935.0,43,0,,
Norte,AC,,12,,,,2020-04-02,14,881935.0,43,0,,
Norte,AC,,12,,,,2020-04-03,14,881935.0,46,0,,
Norte,AC,,12,,,,2020-04-04,14,881935.0,46,0,,
Norte,AC,,12,,,,2020-04-05,15,881935.0,48,0,,
Norte,AC,,12,,,,2020-04-06,15,881935.0,50,0,,
Norte,AC,,12,,,,2020-04-07,15,881935.0,50,1,,
Norte,AC,,12,,,,2020-04-08,15,881935.0,54,2,,
